"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Perubahan%"
"31/12/2021","9,250","9,250","9,250","9,250","0,00%"
"30/12/2021","9,250","9,250","9,250","9,250","-0,11%"
"29/12/2021","9,260","9,260","9,260","9,260","0,00%"
"28/12/2021","9,260","9,260","9,260","9,260","0,00%"
"27/12/2021","9,260","9,260","9,260","9,260","0,00%"
"23/12/2021","9,260","9,260","9,260","9,260","0,11%"
"22/12/2021","9,250","9,250","9,250","9,250","0,00%"
"21/12/2021","9,250","9,250","9,250","9,250","-0,11%"
"20/12/2021","9,260","9,260","9,260","9,260","0,00%"
"17/12/2021","9,260","9,260","9,260","9,260","0,00%"
"16/12/2021","9,260","9,260","9,260","9,260","0,00%"
"15/12/2021","9,260","9,260","9,260","9,260","-0,11%"
"14/12/2021","9,270","9,270","9,270","9,270","0,11%"
"13/12/2021","9,260","9,260","9,260","9,260","0,11%"
"10/12/2021","9,250","9,250","9,250","9,250","0,00%"
"09/12/2021","9,250","9,250","9,250","9,250","0,00%"
"08/12/2021","9,250","9,250","9,250","9,250","-0,22%"
"07/12/2021","9,270","9,270","9,270","9,270","-0,11%"
"06/12/2021","9,280","9,280","9,280","9,280","0,00%"
"03/12/2021","9,280","9,280","9,280","9,280","0,00%"
"02/12/2021","9,280","9,280","9,280","9,280","0,11%"
"01/12/2021","9,270","9,270","9,270","9,270","0,00%"
"30/11/2021","9,270","9,270","9,270","9,270","0,11%"
"29/11/2021","9,260","9,260","9,260","9,260","-0,22%"
"26/11/2021","9,280","9,280","9,280","9,280","0,00%"
"25/11/2021","9,280","9,280","9,280","9,280","0,00%"
"24/11/2021","9,280","9,280","9,280","9,280","0,00%"
"23/11/2021","9,280","9,280","9,280","9,280","-0,22%"
"22/11/2021","9,300","9,300","9,300","9,300","-0,11%"
"19/11/2021","9,310","9,310","9,310","9,310","0,11%"
"18/11/2021","9,300","9,300","9,300","9,300","0,00%"
"17/11/2021","9,300","9,300","9,300","9,300","0,00%"
"16/11/2021","9,300","9,300","9,300","9,300","0,00%"
"15/11/2021","9,300","9,300","9,300","9,300","0,00%"
"12/11/2021","9,300","9,300","9,300","9,300","0,00%"
"11/11/2021","9,300","9,300","9,300","9,300","-0,11%"
"10/11/2021","9,310","9,310","9,310","9,310","-0,11%"
"09/11/2021","9,320","9,320","9,320","9,320","-0,11%"
"08/11/2021","9,330","9,330","9,330","9,330","-0,21%"
"05/11/2021","9,350","9,350","9,350","9,350","0,11%"
"04/11/2021","9,340","9,340","9,340","9,340","0,00%"
"03/11/2021","9,340","9,340","9,340","9,340","0,00%"
"02/11/2021","9,340","9,340","9,340","9,340","0,00%"
"01/11/2021","9,340","9,340","9,340","9,340","0,11%"
"29/10/2021","9,330","9,330","9,330","9,330","0,00%"
"28/10/2021","9,330","9,330","9,330","9,330","0,00%"
"27/10/2021","9,330","9,330","9,330","9,330","0,00%"
"26/10/2021","9,330","9,330","9,330","9,330","0,00%"
"25/10/2021","9,330","9,330","9,330","9,330","0,00%"
"22/10/2021","9,330","9,330","9,330","9,330","0,00%"
"21/10/2021","9,330","9,330","9,330","9,330","0,00%"
"20/10/2021","9,330","9,330","9,330","9,330","0,00%"
"19/10/2021","9,330","9,330","9,330","9,330","0,00%"
"18/10/2021","9,330","9,330","9,330","9,330","-0,11%"
"15/10/2021","9,340","9,340","9,340","9,340","0,11%"
"14/10/2021","9,330","9,330","9,330","9,330","0,11%"
"13/10/2021","9,320","9,320","9,320","9,320","0,00%"
"12/10/2021","9,320","9,320","9,320","9,320","0,11%"
"11/10/2021","9,310","9,310","9,310","9,310","-0,21%"
"08/10/2021","9,330","9,330","9,330","9,330","-0,32%"
"07/10/2021","9,360","9,360","9,360","9,360","0,00%"
"06/10/2021","9,360","9,360","9,360","9,360","-0,11%"
"05/10/2021","9,370","9,370","9,370","9,370","-0,11%"
"04/10/2021","9,380","9,380","9,380","9,380","0,11%"
"01/10/2021","9,370","9,370","9,370","9,370","0,00%"
"30/09/2021","9,370","9,370","9,370","9,370","0,00%"
"29/09/2021","9,370","9,370","9,370","9,370","-0,11%"
"28/09/2021","9,380","9,380","9,380","9,380","-0,53%"
"27/09/2021","9,430","9,430","9,430","9,430","0,32%"
"24/09/2021","9,400","9,400","9,400","9,400","-0,11%"
"23/09/2021","9,410","9,410","9,410","9,410","0,00%"
