keterangan,bobot
Intercept.to.1layhid1,-9.929747e+01
rtLag2.to.1layhid1,-1.154280e+02
rtLag3.to.1layhid1,-8.482073e+01
rtLag4.to.1layhid1,-5.426054e+00
rtLag7.to.1layhid1,7.179805e+01
Intercept.to.1layhid2,8.649368e-01
rtLag2.to.1layhid2,4.277506e+00
rtLag3.to.1layhid2,-2.571838e+00
rtLag4.to.1layhid2,-1.831382e+00
rtLag7.to.1layhid2,-2.222651e-01
Intercept.to.1layhid3,1.718600e+00
rtLag2.to.1layhid3,-6.094522e-01
rtLag3.to.1layhid3,-2.193437e-02
rtLag4.to.1layhid3,-1.043987e+00
rtLag7.to.1layhid3,-5.172101e-01
Intercept.to.1layhid4,-3.206840e-01
rtLag2.to.1layhid4,-4.550440e+00
rtLag3.to.1layhid4,2.302983e+00
rtLag4.to.1layhid4,7.042831e-01
rtLag7.to.1layhid4,-5.180385e-01
Intercept.to.y,3.999318e-01
1layhid1.to.y,-7.865815e-01
1layhid2.to.y,-1.731642e+00
1layhid3.to.y,1.857182e+00
1layhid4.to.y,-1.798598e+00
