Keterangan,bobot
error,3.158129e+02
reached.threshold,7.489188e-03
steps,3.620000e+02
aic,9.936258e+02
bic,1.792165e+03
Intercept.to.1layhid1,-2.919796e+00
rt2Lag1.to.1layhid1,3.271900e-01
rt2Lag2.to.1layhid1,4.771705e+00
rt2Lag3.to.1layhid1,-5.785728e+00
rt2Lag4.to.1layhid1,-9.911822e-03
rt2Lag7.to.1layhid1,1.574647e+00
rt2Lag9.to.1layhid1,-2.480393e-01
rt2Lag10.to.1layhid1,-4.977467e-01
Intercept.to.1layhid2,3.356983e-01
rt2Lag1.to.1layhid2,2.562100e-01
rt2Lag2.to.1layhid2,-4.271160e-01
rt2Lag3.to.1layhid2,-4.360264e+00
rt2Lag4.to.1layhid2,-1.562665e+01
rt2Lag7.to.1layhid2,3.688848e+00
rt2Lag9.to.1layhid2,3.427020e+00
rt2Lag10.to.1layhid2,-4.486606e-02
Intercept.to.1layhid3,1.273323e+00
rt2Lag1.to.1layhid3,-4.128201e+00
rt2Lag2.to.1layhid3,-9.143231e+00
rt2Lag3.to.1layhid3,1.055704e+01
rt2Lag4.to.1layhid3,5.037743e-01
rt2Lag7.to.1layhid3,-6.331172e+00
rt2Lag9.to.1layhid3,4.627404e-01
rt2Lag10.to.1layhid3,-1.953002e+00
Intercept.to.1layhid4,-4.077994e+00
rt2Lag1.to.1layhid4,-3.152394e-02
rt2Lag2.to.1layhid4,6.768183e-01
rt2Lag3.to.1layhid4,-5.708968e-02
rt2Lag4.to.1layhid4,3.371820e-01
rt2Lag7.to.1layhid4,-9.165990e-01
rt2Lag9.to.1layhid4,4.130453e-01
rt2Lag10.to.1layhid4,-2.995127e-01
Intercept.to.1layhid5,-6.770879e-01
rt2Lag1.to.1layhid5,-9.826059e+00
rt2Lag2.to.1layhid5,7.902112e-02
rt2Lag3.to.1layhid5,-9.529439e-01
rt2Lag4.to.1layhid5,-1.556667e+00
rt2Lag7.to.1layhid5,-4.116078e+00
rt2Lag9.to.1layhid5,-1.041096e+00
rt2Lag10.to.1layhid5,5.711771e-01
Intercept.to.1layhid6,2.282567e+00
rt2Lag1.to.1layhid6,-5.219934e+00
rt2Lag2.to.1layhid6,-7.509997e+00
rt2Lag3.to.1layhid6,9.407199e-01
rt2Lag4.to.1layhid6,-2.466977e+00
rt2Lag7.to.1layhid6,-1.818774e+00
rt2Lag9.to.1layhid6,-1.518453e+00
rt2Lag10.to.1layhid6,1.265933e+00
Intercept.to.1layhid7,3.683528e+00
rt2Lag1.to.1layhid7,-2.214854e+00
