keterangan,bobot
Intercept.to.1layhid1,-6.575314452
rtLag2.to.1layhid1,-3.008925500
rtLag3.to.1layhid1,-4.090870696
rtLag4.to.1layhid1,0.645044959
rtLag7.to.1layhid1,1.711610916
etLag1.to.1layhid1,-3.827681839
etLag3.to.1layhid1,1.391520798
etLag4.to.1layhid1,-3.729647887
etLag5.to.1layhid1,-0.755954155
etLag6.to.1layhid1,0.699731120
etLag7.to.1layhid1,-1.859648957
Intercept.to.1layhid2,-1.858851949
rtLag2.to.1layhid2,-0.649261697
rtLag3.to.1layhid2,3.708239198
rtLag4.to.1layhid2,-0.903217566
rtLag7.to.1layhid2,-0.823475790
etLag1.to.1layhid2,0.170233479
etLag3.to.1layhid2,-4.341476628
etLag4.to.1layhid2,2.207713764
etLag5.to.1layhid2,0.641058986
etLag6.to.1layhid2,0.194152641
etLag7.to.1layhid2,0.286817264
Intercept.to.1layhid3,-1.332210902
rtLag2.to.1layhid3,0.267249604
rtLag3.to.1layhid3,-0.628166359
rtLag4.to.1layhid3,-0.321638073
rtLag7.to.1layhid3,-0.135280290
etLag1.to.1layhid3,-0.317922233
etLag3.to.1layhid3,1.084977525
etLag4.to.1layhid3,-0.247955715
etLag5.to.1layhid3,-0.292509900
etLag6.to.1layhid3,-0.253630635
etLag7.to.1layhid3,0.099037382
Intercept.to.y,0.411150393
1layhid1.to.y,-2.661481349
1layhid2.to.y,-0.798217350
1layhid3.to.y,-1.278304213
