Keterangan,nilai
error,2.973731e+02
reached.threshold,8.826461e-03
steps,2.742000e+03
aic,7.567462e+02
bic,1.113570e+03
Intercept.to.1layhid1,-1.204149e+00
v1p1t.to.1layhid1,-1.283378e+01
v2p2t.to.1layhid1,2.145050e+01
Intercept.to.1layhid2,-5.418665e+00
v1p1t.to.1layhid2,9.916849e-01
v2p2t.to.1layhid2,7.445993e+00
Intercept.to.1layhid3,-2.820705e+00
v1p1t.to.1layhid3,1.428016e+00
v2p2t.to.1layhid3,-2.338579e+01
Intercept.to.1layhid4,8.903007e-01
v1p1t.to.1layhid4,-8.570860e+01
v2p2t.to.1layhid4,-9.821927e+01
Intercept.to.1layhid5,6.810302e+00
v1p1t.to.1layhid5,-6.205454e+00
v2p2t.to.1layhid5,3.616574e+01
Intercept.to.1layhid6,1.240924e-01
v1p1t.to.1layhid6,-1.057635e+00
v2p2t.to.1layhid6,-4.260725e+00
Intercept.to.1layhid7,4.603947e+00
v1p1t.to.1layhid7,7.467903e+00
v2p2t.to.1layhid7,4.171791e+00
Intercept.to.1layhid8,-4.851680e-01
v1p1t.to.1layhid8,1.396686e+00
v2p2t.to.1layhid8,1.490393e+00
Intercept.to.1layhid9,-7.703115e-01
v1p1t.to.1layhid9,-1.981996e+00
v2p2t.to.1layhid9,1.948776e+01
Intercept.to.1layhid10,-3.069305e+00
v1p1t.to.1layhid10,6.983659e-01
v2p2t.to.1layhid10,3.948498e-01
Intercept.to.1layhid11,4.799305e-01
v1p1t.to.1layhid11,-1.482162e+00
v2p2t.to.1layhid11,-4.206461e+00
Intercept.to.1layhid12,-4.481751e-02
v1p1t.to.1layhid12,-6.733365e-01
v2p2t.to.1layhid12,-6.003489e+00
Intercept.to.1layhid13,-1.157177e+01
v1p1t.to.1layhid13,-1.899273e+01
v2p2t.to.1layhid13,1.350150e+01
Intercept.to.1layhid14,-1.089747e+01
v1p1t.to.1layhid14,2.687637e+01
v2p2t.to.1layhid14,1.526212e+01
Intercept.to.1layhid15,-4.436850e-01
v1p1t.to.1layhid15,3.438392e-02
v2p2t.to.1layhid15,2.333971e-01
Intercept.to.1layhid16,-5.553482e+00
v1p1t.to.1layhid16,-9.339506e+00
v2p2t.to.1layhid16,-6.182900e+00
Intercept.to.1layhid17,1.194196e+00
v1p1t.to.1layhid17,-1.374113e+00
v2p2t.to.1layhid17,-5.833395e+00
Intercept.to.1layhid18,-8.416174e-01
v1p1t.to.1layhid18,-1.661863e+00
v2p2t.to.1layhid18,1.836616e+01
Intercept.to.1layhid19,-4.697936e+00
v1p1t.to.1layhid19,1.629525e+00
v2p2t.to.1layhid19,-3.942988e+01
Intercept.to.1layhid20,2.051077e+00
v1p1t.to.1layhid20,-1.851787e+01
v2p2t.to.1layhid20,7.843149e+00
Intercept.to.y,4.581392e-01
1layhid1.to.y,3.057690e+01
1layhid2.to.y,-6.637209e+01
1layhid3.to.y,-1.502606e+00
1layhid4.to.y,-1.747795e+01
1layhid5.to.y,3.801607e+00
1layhid6.to.y,-1.737751e+00
1layhid7.to.y,3.341609e+00
1layhid8.to.y,8.205777e+00
1layhid9.to.y,4.057499e+00
1layhid10.to.y,-2.169613e+01
1layhid11.to.y,-8.275116e-01
1layhid12.to.y,-5.153692e+00
1layhid13.to.y,1.958390e+01
1layhid14.to.y,1.468254e+01
1layhid15.to.y,-2.044217e+00
1layhid16.to.y,-2.296276e+01
1layhid17.to.y,-1.547830e+01
1layhid18.to.y,2.638099e+00
1layhid19.to.y,-1.486622e+01
1layhid20.to.y,-6.991550e+00
