Keterangan,nilai
error,2.901233e+02
reached.threshold,9.030071e-03
steps,8.210000e+02
aic,8.902467e+02
bic,1.571771e+03
Intercept.to.1layhid1,-2.448137e+00
v1p1t_5.to.1layhid1,1.298607e-01
v2p2t_5.to.1layhid1,5.574363e+00
v1p1t_4.to.1layhid1,7.684531e-01
v2p2t_4.to.1layhid1,4.874392e-01
v1p1t_3.to.1layhid1,6.622762e+00
v2p2t_3.to.1layhid1,-7.534662e-01
v1p1t_2.to.1layhid1,6.140293e-02
v2p2t_2.to.1layhid1,-3.524711e+01
v1p1t_1.to.1layhid1,-2.716050e+00
v2p2t_1.to.1layhid1,-2.920475e+00
v1p1t.to.1layhid1,4.381542e+00
v2p2t.to.1layhid1,-3.565740e+01
Intercept.to.1layhid2,-7.220087e-02
v1p1t_5.to.1layhid2,9.402294e-01
v2p2t_5.to.1layhid2,5.007507e-01
v1p1t_4.to.1layhid2,-2.954774e-01
v2p2t_4.to.1layhid2,-1.174581e+00
v1p1t_3.to.1layhid2,-8.342133e-01
v2p2t_3.to.1layhid2,1.074426e+00
v1p1t_2.to.1layhid2,7.059133e-02
v2p2t_2.to.1layhid2,-6.888393e+00
v1p1t_1.to.1layhid2,-3.665561e+00
v2p2t_1.to.1layhid2,2.441078e+00
v1p1t.to.1layhid2,8.700212e-01
v2p2t.to.1layhid2,-4.710353e+00
Intercept.to.1layhid3,-7.436867e-02
v1p1t_5.to.1layhid3,7.576154e-01
v2p2t_5.to.1layhid3,1.395177e+00
v1p1t_4.to.1layhid3,1.525708e-01
v2p2t_4.to.1layhid3,1.125688e+00
v1p1t_3.to.1layhid3,8.549833e-01
v2p2t_3.to.1layhid3,1.805147e-01
v1p1t_2.to.1layhid3,6.831345e-01
v2p2t_2.to.1layhid3,5.016350e-01
v1p1t_1.to.1layhid3,5.650478e-01
v2p2t_1.to.1layhid3,-1.617370e+00
v1p1t.to.1layhid3,-3.243184e+00
v2p2t.to.1layhid3,4.162042e-03
Intercept.to.1layhid4,-1.775084e+00
v1p1t_5.to.1layhid4,-3.787947e+00
v2p2t_5.to.1layhid4,5.308460e+00
v1p1t_4.to.1layhid4,-1.318199e+00
v2p2t_4.to.1layhid4,6.161218e+00
v1p1t_3.to.1layhid4,-2.060985e+00
v2p2t_3.to.1layhid4,6.556517e-01
v1p1t_2.to.1layhid4,-8.226196e+00
v2p2t_2.to.1layhid4,1.871342e+00
v1p1t_1.to.1layhid4,-3.035944e+00
v2p2t_1.to.1layhid4,-6.932306e-01
v1p1t.to.1layhid4,-3.282010e+00
v2p2t.to.1layhid4,8.805122e-01
Intercept.to.1layhid5,-2.756771e+00
v1p1t_5.to.1layhid5,-2.065831e+00
v2p2t_5.to.1layhid5,3.928294e+00
v1p1t_4.to.1layhid5,1.203092e-01
v2p2t_4.to.1layhid5,1.307012e+00
v1p1t_3.to.1layhid5,-7.337574e-01
v2p2t_3.to.1layhid5,4.123725e-01
v1p1t_2.to.1layhid5,-2.695442e+00
v2p2t_2.to.1layhid5,2.258438e+00
v1p1t_1.to.1layhid5,1.262239e+00
v2p2t_1.to.1layhid5,3.150716e+00
v1p1t.to.1layhid5,1.204959e+00
v2p2t.to.1layhid5,1.357546e+00
Intercept.to.1layhid6,1.087610e+00
v1p1t_5.to.1layhid6,-1.493947e+00
v2p2t_5.to.1layhid6,8.833134e+00
v1p1t_4.to.1layhid6,1.058795e+00
v2p2t_4.to.1layhid6,2.701887e+00
v1p1t_3.to.1layhid6,-2.978911e-01
v2p2t_3.to.1layhid6,9.744062e-01
v1p1t_2.to.1layhid6,-6.506839e-01
v2p2t_2.to.1layhid6,6.456191e-01
v1p1t_1.to.1layhid6,2.519024e+00
v2p2t_1.to.1layhid6,5.839381e-01
v1p1t.to.1layhid6,-3.649210e-01
v2p2t.to.1layhid6,-1.131908e+01
Intercept.to.1layhid7,-4.785857e-01
v1p1t_5.to.1layhid7,-4.091092e-01
v2p2t_5.to.1layhid7,-9.183575e+00
v1p1t_4.to.1layhid7,4.653296e-02
v2p2t_4.to.1layhid7,-1.004305e+01
v1p1t_3.to.1layhid7,1.256694e-01
v2p2t_3.to.1layhid7,-7.038132e-01
v1p1t_2.to.1layhid7,6.899824e-01
v2p2t_2.to.1layhid7,-7.723398e-01
v1p1t_1.to.1layhid7,-1.338339e+00
v2p2t_1.to.1layhid7,3.843773e+00
