Katerangan,bobot
error,3.082757e+02
reached.threshold,9.815603e-03
steps,1.730000e+02
aic,1.378551e+03
bic,3.048023e+03

Intercept.to.1layhid1,-5.905913e-02
rt2Lag1.to.1layhid1,-1.565664e+00
rt2Lag2.to.1layhid1,1.247960e+00
rt2Lag3.to.1layhid1,-2.417584e+00
rt2Lag4.to.1layhid1,3.526984e-01
rt2Lag7.to.1layhid1,4.523369e-01
rt2Lag9.to.1layhid1,3.119593e-01
rt2Lag10.to.1layhid1,-6.626402e-01
ut2Lag1.to.1layhid1,-1.012473e+00
ut2Lag2.to.1layhid1,-1.235545e+00
ut2Lag3.to.1layhid1,-1.794933e+00
ut2Lag4.to.1layhid1,-4.550142e-01
ut2Lag5.to.1layhid1,-2.266079e-01
ut2Lag6.to.1layhid1,1.909606e-01
ut2Lag7.to.1layhid1,4.553384e-01
ut2Lag8.to.1layhid1,5.858785e-01
ut2Lag10.to.1layhid1,1.842072e+00
ut2Lag11.to.1layhid1,-5.455979e+00
ut2Lag18.to.1layhid1,-2.455981e+00

Intercept.to.1layhid2,3.123507e+00
rt2Lag1.to.1layhid2,-4.152639e+00
rt2Lag2.to.1layhid2,-2.239651e-02
rt2Lag3.to.1layhid2,9.869374e-01
rt2Lag4.to.1layhid2,1.073829e+00
rt2Lag7.to.1layhid2,-1.514666e+00
rt2Lag9.to.1layhid2,5.363773e-01
rt2Lag10.to.1layhid2,1.497762e+00
ut2Lag1.to.1layhid2,-4.054474e+00
ut2Lag2.to.1layhid2,-4.074836e-01
ut2Lag3.to.1layhid2,-1.299095e+00
ut2Lag4.to.1layhid2,6.994235e-01
ut2Lag5.to.1layhid2,-8.753238e-01
ut2Lag6.to.1layhid2,-1.195706e+00
ut2Lag7.to.1layhid2,-7.492827e-01
ut2Lag8.to.1layhid2,-6.582966e+00
ut2Lag10.to.1layhid2,-6.872441e-01
ut2Lag11.to.1layhid2,-1.562717e+00
ut2Lag18.to.1layhid2,-3.865806e+00

Intercept.to.1layhid3,1.143675e+00
rt2Lag1.to.1layhid3,-1.397540e+00
rt2Lag2.to.1layhid3,1.634221e+00
rt2Lag3.to.1layhid3,1.485744e+00
rt2Lag4.to.1layhid3,-5.784743e-01
rt2Lag7.to.1layhid3,-2.535970e+00
rt2Lag9.to.1layhid3,-4.045175e+00
rt2Lag10.to.1layhid3,-1.835729e+00
ut2Lag1.to.1layhid3,-6.065977e+00
ut2Lag2.to.1layhid3,-1.699384e+00
ut2Lag3.to.1layhid3,-2.132380e+00
ut2Lag4.to.1layhid3,-5.416186e-01
ut2Lag5.to.1layhid3,-4.423408e-01
ut2Lag6.to.1layhid3,-4.154942e+00
ut2Lag7.to.1layhid3,-6.470178e+00
ut2Lag8.to.1layhid3,-7.473564e+00
ut2Lag10.to.1layhid3,-7.959557e+00
ut2Lag11.to.1layhid3,1.110300e-01
ut2Lag18.to.1layhid3,1.592640e+00

Intercept.to.1layhid4,-1.788975e+00
rt2Lag1.to.1layhid4,2.750394e-01
rt2Lag2.to.1layhid4,-1.823829e+00
rt2Lag3.to.1layhid4,2.815852e+00
rt2Lag4.to.1layhid4,6.161780e+00
rt2Lag7.to.1layhid4,8.774482e-01
rt2Lag9.to.1layhid4,-3.267774e+00
rt2Lag10.to.1layhid4,3.424653e-01
ut2Lag1.to.1layhid4,4.487907e+00
ut2Lag2.to.1layhid4,1.170853e-01
ut2Lag3.to.1layhid4,2.362778e+00
ut2Lag4.to.1layhid4,1.251352e+00
ut2Lag5.to.1layhid4,2.937523e-01
ut2Lag6.to.1layhid4,-1.234202e-01
ut2Lag7.to.1layhid4,-1.490654e+00
ut2Lag8.to.1layhid4,-2.772978e+00
ut2Lag10.to.1layhid4,-6.200843e-01
ut2Lag11.to.1layhid4,7.519300e+00
ut2Lag18.to.1layhid4,6.457304e-03

Intercept.to.1layhid5,-5.690347e-01
rt2Lag1.to.1layhid5,-1.301789e+01
rt2Lag2.to.1layhid5,-6.851359e-02
rt2Lag3.to.1layhid5,4.131471e-01
rt2Lag4.to.1layhid5,1.248850e-02
rt2Lag7.to.1layhid5,-3.293835e+00
rt2Lag9.to.1layhid5,-3.481406e-01
rt2Lag10.to.1layhid5,-1.196694e+00
ut2Lag1.to.1layhid5,3.601660e-01
ut2Lag2.to.1layhid5,-3.108129e-03
ut2Lag3.to.1layhid5,-3.005587e+00
ut2Lag4.to.1layhid5,9.788626e-02
ut2Lag5.to.1layhid5,-4.492745e-01
ut2Lag6.to.1layhid5,-3.297408e+00
