Keterangan,bobot
error,2.921267e+02
reached.threshold,9.165336e-03
steps,5.650000e+02
aic,9.502535e+02
bic,1.759113e+03
Intercept.to.1layhid1,-2.747103e+00
v1p1t_5.to.1layhid1,1.229181e+00
v2p2t_5.to.1layhid1,1.831902e+00
v1p1t_4.to.1layhid1,-8.791293e-01
v2p2t_4.to.1layhid1,-7.354738e-01
v1p1t_3.to.1layhid1,2.250341e+00
v2p2t_3.to.1layhid1,-5.210718e-01
v1p1t_2.to.1layhid1,-1.220940e+00
v2p2t_2.to.1layhid1,-1.539386e-01
v1p1t_1.to.1layhid1,-8.877782e-01
v2p2t_1.to.1layhid1,-6.359902e-01
v1p1t.to.1layhid1,-1.721667e+00
v2p2t.to.1layhid1,-9.305469e-01
Intercept.to.1layhid2,6.190164e-02
v1p1t_5.to.1layhid2,3.809643e-01
v2p2t_5.to.1layhid2,7.447417e-01
v1p1t_4.to.1layhid2,-2.125372e-01
v2p2t_4.to.1layhid2,-2.442358e-01
v1p1t_3.to.1layhid2,-6.548397e-02
v2p2t_3.to.1layhid2,2.145842e+00
v1p1t_2.to.1layhid2,8.640054e-01
v2p2t_2.to.1layhid2,-8.007275e-02
v1p1t_1.to.1layhid2,-1.046969e-01
v2p2t_1.to.1layhid2,5.751713e-01
v1p1t.to.1layhid2,1.087129e-01
v2p2t.to.1layhid2,-2.792687e+00
Intercept.to.1layhid3,3.382711e+00
v1p1t_5.to.1layhid3,-8.315102e-01
v2p2t_5.to.1layhid3,2.540103e+00
v1p1t_4.to.1layhid3,-6.476407e+00
v2p2t_4.to.1layhid3,1.736885e+00
v1p1t_3.to.1layhid3,4.205609e+00
v2p2t_3.to.1layhid3,-8.419012e-01
v1p1t_2.to.1layhid3,2.047524e+00
v2p2t_2.to.1layhid3,-1.238667e+00
v1p1t_1.to.1layhid3,-5.202342e+00
v2p2t_1.to.1layhid3,-2.031030e+00
v1p1t.to.1layhid3,5.712399e-01
v2p2t.to.1layhid3,-2.458405e+00
Intercept.to.1layhid4,5.602391e+00
v1p1t_5.to.1layhid4,-4.512720e+00
v2p2t_5.to.1layhid4,1.199818e-01
v1p1t_4.to.1layhid4,-1.108874e+01
v2p2t_4.to.1layhid4,1.091137e+00
v1p1t_3.to.1layhid4,-1.766994e+00
v2p2t_3.to.1layhid4,-1.042890e+00
v1p1t_2.to.1layhid4,-4.613542e-01
v2p2t_2.to.1layhid4,-1.354248e+00
v1p1t_1.to.1layhid4,2.908360e+00
v2p2t_1.to.1layhid4,-1.949858e+01
v1p1t.to.1layhid4,-1.024738e+00
v2p2t.to.1layhid4,-1.155597e+01
Intercept.to.1layhid5,-2.741858e+00
v1p1t_5.to.1layhid5,-5.317637e-01
v2p2t_5.to.1layhid5,-2.810348e-01
v1p1t_4.to.1layhid5,4.848027e-01
v2p2t_4.to.1layhid5,1.406449e+00
v1p1t_3.to.1layhid5,-2.100636e+00
v2p2t_3.to.1layhid5,1.201117e+00
v1p1t_2.to.1layhid5,-1.935411e+00
v2p2t_2.to.1layhid5,5.978120e-01
v1p1t_1.to.1layhid5,3.246498e+00
v2p2t_1.to.1layhid5,4.816419e-02
v1p1t.to.1layhid5,-1.154188e+00
v2p2t.to.1layhid5,-7.539341e-01
Intercept.to.1layhid6,3.683791e+00
v1p1t_5.to.1layhid6,-2.565328e+00
v2p2t_5.to.1layhid6,1.092260e+00
v1p1t_4.to.1layhid6,2.556119e+00
v2p2t_4.to.1layhid6,4.940754e-01
v1p1t_3.to.1layhid6,-1.757600e+00
v2p2t_3.to.1layhid6,-6.019903e-01
v1p1t_2.to.1layhid6,-1.222841e+00
v2p2t_2.to.1layhid6,5.323503e-01
v1p1t_1.to.1layhid6,3.656604e+00
v2p2t_1.to.1layhid6,-1.133233e+00
v1p1t.to.1layhid6,-7.376119e-01
v2p2t.to.1layhid6,-1.638927e+00
Intercept.to.1layhid7,1.258877e+00
v1p1t_5.to.1layhid7,-6.135834e+00
v2p2t_5.to.1layhid7,3.989580e-01
v1p1t_4.to.1layhid7,-7.252789e-01
v2p2t_4.to.1layhid7,-2.435269e+00
v1p1t_3.to.1layhid7,2.630492e-01
v2p2t_3.to.1layhid7,9.340636e-01
v1p1t_2.to.1layhid7,4.547148e-01
v2p2t_2.to.1layhid7,3.928271e-01
v1p1t_1.to.1layhid7,-8.833367e-01
v2p2t_1.to.1layhid7,-3.026581e-01
v1p1t.to.1layhid7,1.233300e+00
v2p2t.to.1layhid7,-1.780380e+00
Intercept.to.1layhid8,-1.255695e+00
v1p1t_5.to.1layhid8,1.927632e+00
v2p2t_5.to.1layhid8,6.288449e-01
v1p1t_4.to.1layhid8,2.830106e-01
v2p2t_4.to.1layhid8,6.200963e-02
v1p1t_3.to.1layhid8,-2.215054e+00
v2p2t_3.to.1layhid8,8.674323e-01
v1p1t_2.to.1layhid8,2.512443e+00
v2p2t_2.to.1layhid8,1.857764e+00
v1p1t_1.to.1layhid8,-2.830376e-01
v2p2t_1.to.1layhid8,-7.911948e-01
v1p1t.to.1layhid8,-6.017323e-01
v2p2t.to.1layhid8,9.246592e-01
Intercept.to.1layhid9,8.394663e-01
v1p1t_5.to.1layhid9,8.013206e-01
v2p2t_5.to.1layhid9,-3.036506e-02
v1p1t_4.to.1layhid9,3.695220e-01
v2p2t_4.to.1layhid9,9.283677e-01
v1p1t_3.to.1layhid9,-2.891116e-01
v2p2t_3.to.1layhid9,4.415152e-01
v1p1t_2.to.1layhid9,-4.898512e-01
v2p2t_2.to.1layhid9,-2.513512e-01
v1p1t_1.to.1layhid9,-6.796553e-02
v2p2t_1.to.1layhid9,3.803453e-01
v1p1t.to.1layhid9,1.177885e+00
v2p2t.to.1layhid9,-1.237203e+00
Intercept.to.1layhid10,4.753728e-01
v1p1t_5.to.1layhid10,7.119474e+00
v2p2t_5.to.1layhid10,2.756160e-01
v1p1t_4.to.1layhid10,-3.276035e+00
v2p2t_4.to.1layhid10,-5.854506e-01
v1p1t_3.to.1layhid10,2.433022e+00
v2p2t_3.to.1layhid10,1.055463e+00
v1p1t_2.to.1layhid10,-3.287504e-01
v2p2t_2.to.1layhid10,-1.342014e-01
v1p1t_1.to.1layhid10,-7.272807e-01
v2p2t_1.to.1layhid10,-2.548380e+00
v1p1t.to.1layhid10,4.821169e-01
v2p2t.to.1layhid10,-4.687979e+00
Intercept.to.1layhid11,2.030952e+00
v1p1t_5.to.1layhid11,1.206311e+00
v2p2t_5.to.1layhid11,5.419703e-01
v1p1t_4.to.1layhid11,6.068273e-01
v2p2t_4.to.1layhid11,-1.321470e+00
v1p1t_3.to.1layhid11,-3.515098e-01
v2p2t_3.to.1layhid11,-5.016940e-01
v1p1t_2.to.1layhid11,-1.224611e+00
v2p2t_2.to.1layhid11,4.650684e-01
v1p1t_1.to.1layhid11,-9.815559e-01
v2p2t_1.to.1layhid11,-5.817221e-01
v1p1t.to.1layhid11,2.073000e+00
v2p2t.to.1layhid11,-1.103706e-02
