Neuron,MSEtrain,sMAPEtrain,MSEtest,sMAPEtest
1,0.03240146,169.8172,0.01799691,169.8172
2,0.02779667,164.1260,0.02046506,164.1260
3,0.02673657,162.4059,0.02089028,162.4059
4,0.02596346,159.2468,0.02356498,159.2468
5,0.02524660,160.6732,0.02321935,160.6732
6,0.02488211,160.6642,0.02390869,160.6642
7,0.02638241,161.8890,0.02206695,161.8890
8,0.02521684,159.5112,0.02343461,159.5112
9,0.02393861,161.8925,0.02236711,161.8925
10,0.02389924,159.2305,0.02760469,159.2305
11,0.02299970,158.5392,0.03006359,158.5392
12,0.02286571,158.5479,0.02515548,158.5479
13,0.02225943,158.5941,0.02256339,158.5941
14,0.02417295,159.6205,0.02451908,159.6205
15,0.02643320,161.6775,0.02578805,161.6775
16,0.02416310,161.6215,0.02653306,161.6215
17,0.02393523,161.1456,0.02749724,161.1456
18,0.02417996,162.0196,0.02359603,162.0196
19,0.02611863,160.8674,0.02225964,160.8674
20,0.02436015,161.1053,0.02218911,161.1053
