Neuron,MSEtrain,sMAPEtrain,MSEtest,sMAPEtest
1,0.02428410,127.9839,0.008717817,147.0642
2,0.01562424,185.1439,0.013603584,194.9774
3,0.01439349,125.9813,0.016543242,146.5664
4,0.01374728,120.1092,0.018194968,142.7828
5,0.01340988,124.0873,0.013817465,140.4378
6,0.01352668,122.4093,0.017061057,143.0591
7,0.01359746,123.9494,0.011232320,142.9084
8,0.01357433,121.2195,0.013026585,140.7537
9,0.01353488,120.9580,0.011262230,141.0890
10,0.01367688,121.2349,0.012441662,140.7770
11,0.01683372,125.8809,0.010215944,144.1441
12,0.01484674,188.7801,0.016145888,196.7967
13,0.01376328,121.7781,0.010886870,141.3040
14,0.01478242,189.3042,0.016599238,197.7365
15,0.01689154,134.1182,0.010553266,151.6369
16,0.01366332,122.2064,0.011007863,141.5665
17,0.01361928,123.6081,0.010331682,141.7132
18,0.01379473,123.2481,0.011443709,141.1706
19,0.01378556,124.9088,0.011264931,142.9947
20,0.01487665,190.9927,0.016371401,197.4761
