Neuron,MSEtrain,sMAPEtrain,MSEtest,sMAPEtest
1,0.027182924,166.6529,0.03564896,187.5051
2,0.017725563,162.9727,0.69508140,187.5855
3,0.018070991,153.3271,0.07845271,183.6680
4,0.017701564,150.8618,0.02492166,182.4665
5,0.012900860,143.9134,0.03626272,186.6210
6,0.016540366,148.3462,0.03864785,185.1725
7,0.012950305,140.9374,0.03624724,185.7121
8,0.011488263,138.9106,0.03220714,181.5650
9,0.013048595,139.5457,0.04328148,184.7662
10,0.011844728,137.9280,0.03176431,184.3221
11,0.009751639,131.7160,0.06298582,184.0965
12,0.008799920,126.9694,0.06770204,179.6907
13,0.010025234,129.2531,0.05034665,184.0128
14,0.008363595,125.7181,0.08252289,180.2974
15,0.009963697,131.4432,0.04682770,182.2260
16,0.007663518,122.3588,0.07035166,179.0844
17,0.007919302,123.1532,0.06244694,176.2682
18,0.009119887,128.3913,0.07616319,184.2269
19,0.008434586,124.8278,0.08200432,182.5594
20,0.006571133,116.8459,0.07486981,178.9058
