Neuron,MSEtrain,sMAPEtrain,MSEtest,sMAPEtest
1,0.01063369,129.3754,0.006432903,151.2262
2,0.01062867,129.3828,0.006423742,151.3415
3,0.01063316,129.4150,0.006423753,151.4442
4,0.01063133,129.4173,0.006423504,151.4629
5,0.01062184,129.4029,0.006426486,151.3872
6,0.01062187,129.4037,0.006425214,151.3980
7,0.01062191,129.3961,0.006420426,151.4278
8,0.01062210,129.3900,0.006416937,151.4489
9,0.01062238,129.3914,0.006416589,151.4523
10,0.01062266,129.3905,0.006415248,151.4604
11,0.01062300,129.3908,0.006414458,151.4657
12,0.01061675,129.3696,0.006412284,151.4346
13,0.01061669,129.3732,0.006413396,151.4273
14,0.01061657,129.3665,0.006410802,151.4402
15,0.01061648,129.3672,0.006410894,151.4383
16,0.01061640,129.3683,0.006411032,151.4361
17,0.01061633,129.3655,0.006410019,151.4408
18,0.01059707,129.3049,0.006402939,151.3442
19,0.01059671,129.3038,0.006402657,151.3427
20,0.01059630,129.3001,0.006401449,151.3458
