Neuron,MSEtrain,sMAPEtrain,MSEtest,sMAPEtest
1,0.01035918,128.9688,0.006412365,151.6423
2,0.01034952,128.9918,0.006418583,151.6134
3,0.01032119,128.9995,0.006432153,151.6432
4,0.01029100,128.8943,0.006424804,151.5303
5,0.01026908,128.8553,0.006427737,151.5166
6,0.01025959,128.8319,0.006427489,151.5078
7,0.01025336,128.8313,0.006432691,151.5274
8,0.01023627,128.7886,0.006432994,151.5158
9,0.01023313,128.7781,0.006433495,151.5105
10,0.01022536,128.7549,0.006433812,151.5019
11,0.01021309,128.7181,0.006434429,151.4923
12,0.01023881,128.7929,0.006437345,151.5230
13,0.01027296,128.9481,0.006457229,151.6834
14,0.01026803,128.9385,0.006458246,151.6866
15,0.01026739,128.9369,0.006458969,151.6879
16,0.01026355,128.9298,0.006459120,151.6896
17,0.01025918,128.9210,0.006459916,151.6921
18,0.01026168,128.9266,0.006460470,151.6938
19,0.01028211,128.9371,0.006453101,151.6338
20,0.01028333,128.9389,0.006453888,151.6350
