Neuron,MSEtrain,sMAPEtrain,MSEtest,sMAPEtest
1,0.01059519,129.5649,0.006514110,150.5557
2,0.01059689,129.5696,0.006554081,150.7528
3,0.01057233,129.4796,0.006557128,150.7120
4,0.01056784,129.4633,0.006563877,150.7355
5,0.01058967,129.5426,0.006577392,150.8425
6,0.01058965,129.5424,0.006582567,150.8684
7,0.01058954,129.5419,0.006584550,150.8767
8,0.01058935,129.5409,0.006588120,150.8985
9,0.01058947,129.5414,0.006586446,150.8984
10,0.01060643,129.6028,0.006594556,150.9351
11,0.01060708,129.6047,0.006597308,150.9985
12,0.01060808,129.6083,0.006594022,150.9799
13,0.01060870,129.6107,0.006603879,150.9971
14,0.01060927,129.6124,0.006605234,151.0198
15,0.01061001,129.6153,0.006607146,151.0173
16,0.01061064,129.6177,0.006606166,151.0255
17,0.01061126,129.6199,0.006607679,151.0329
18,0.01061176,129.6217,0.006607905,151.0254
19,0.01061236,129.6240,0.006606899,151.0341
20,0.01061291,129.6260,0.006607825,151.0305
