Neuron,MSEtrain,sMAPEtrain,MSEtest,sMAPEtest
1,0.01067941,129.4554,0.006481135,150.3417
2,0.01066764,129.4118,0.006485631,150.3648
3,0.01067335,129.4378,0.006478716,150.2942
4,0.01067157,129.4519,0.006425492,149.9029
5,0.01068070,129.4667,0.006466872,150.2008
6,0.01065777,129.4040,0.006400750,149.6973
7,0.01065213,129.3922,0.006369882,149.4192
8,0.01064895,129.3847,0.006356356,149.2853
9,0.01065241,129.3848,0.006397800,149.6518
10,0.01064696,129.3806,0.006356687,149.2551
11,0.01061033,129.2863,0.006190167,148.7583
12,0.01057142,129.1790,0.006125691,148.9130
13,0.01057164,129.1926,0.006094076,149.2161
14,0.01055975,129.1411,0.006111337,149.1158
15,0.01054871,129.0889,0.006120366,149.0739
16,0.01054321,129.0895,0.006079828,149.5540
17,0.01052419,129.0657,0.006009212,151.0865
18,0.01050806,128.9992,0.006023457,150.8050
19,0.01049342,128.9518,0.006006037,151.2090
20,0.01044762,128.7953,0.005980269,151.9020
