Neuron,MSEtrain,sMAPEtrain,MSEtest,sMAPEtest
1,0.013481053,129.8736,0.007101943,145.7127
2,0.011364530,152.0772,0.010901449,171.6070
3,0.008561372,186.7904,0.010570246,199.2715
4,0.008464407,188.4631,0.004670512,199.3542
5,0.008318780,183.1738,0.015838147,197.9304
6,0.008317577,182.3305,0.010417855,199.2933
7,0.008404659,186.6101,0.005378210,199.5282
8,0.008327034,184.5896,0.010420783,199.2949
9,0.008352971,186.4476,0.010018859,199.7049
10,0.008415528,186.0954,0.015220249,199.2575
11,0.008324213,185.4931,0.004671224,199.8887
12,0.008430617,185.3588,0.015032625,198.3241
13,0.008341193,184.4864,0.011059705,NaN
14,0.008387909,187.1183,0.013412350,199.3114
15,0.008339706,185.6572,0.004685794,199.8431
16,0.008380576,185.9998,0.007303671,198.9300
17,0.008354591,186.8533,0.014636698,199.6671
18,0.008428661,185.5848,0.014371007,198.7240
19,0.008386465,186.0202,0.011266478,199.4419
20,0.008963124,181.3964,0.004966071,197.0491
