Neuron,MSEtrain,sMAPEtrain,MSEtest,sMAPEtest
1,0.02080228,115.7747,0.01665330,171.4294
2,0.02114601,112.4350,0.01885096,174.2905
3,0.02138395,119.5809,0.01829781,173.3805
4,0.02127171,117.9414,0.01820461,173.3607
5,0.02123900,117.8555,0.01829050,173.1066
6,0.02119086,116.9029,0.01820419,173.0268
7,0.02111542,115.8277,0.01799144,172.8732
8,0.02105696,115.5036,0.01772399,172.6659
9,0.02103028,115.2330,0.01767809,172.6204
10,0.02097824,114.4039,0.01770377,172.4241
11,0.02091985,113.7856,0.01752080,172.1851
12,0.02085079,112.8785,0.01718741,171.9177
13,0.02083712,112.4919,0.01720309,171.8486
14,0.02078204,111.9582,0.01699791,171.5820
15,0.02076213,111.7919,0.01689162,171.5415
16,0.02073527,111.5093,0.01677317,171.3565
17,0.02067834,110.7220,0.01656686,171.0406
18,0.02066000,111.0714,0.01638154,171.0045
19,0.02061851,110.4319,0.01622009,170.6981
20,0.02058924,110.4293,0.01600117,170.6319
