
Neuron,MSEtrain,sMAPEtrain,MSEtest,sMAPEtest
1,0.02601442,132.5288,0.01186268,170.3276
2,0.02591453,129.5655,0.01196140,166.3515
3,0.02629586,133.1444,0.01237938,165.2367
4,0.03078145,144.1061,0.00708294,155.2594
5,0.02687049,132.9755,0.01145194,162.7457
6,0.02710197,135.4176,0.01340685,165.2547
7,0.03338549,162.2760,0.01064884,163.0891
8,0.03058264,140.7583,0.02309234,169.6665
9,0.03236834,137.8489,0.02595737,171.7711
10,0.02988353,138.8720,0.02180962,167.3455
11,0.03205133,139.4403,0.03987113,175.8792
12,0.03209452,162.0187,0.03882747,159.5711
13,0.02938154,137.1884,0.03098263,173.0931
14,0.03410791,166.0607,0.02558041,177.9379
15,0.03028768,136.8115,0.04452378,172.6847
16,0.03184100,137.4602,0.01710998,155.0376
17,0.02966702,135.7180,0.03768573,174.1714
18,0.02827965,128.1490,0.01735436,162.4191
19,0.02886951,121.6303,0.02587899,158.8300
20,0.02956722,130.6162,0.01694936,165.3021
