Neuron,MSEtrain,sMAPEtrain,MSEtest,sMAPEtest
1,0.03208742,169.9185,0.01832926,184.5841
2,0.03013573,165.3545,0.01740884,181.6927
3,0.02647349,170.3977,0.02260737,184.0683
4,0.02769342,159.5419,0.01614641,184.8878
5,0.02758321,160.0231,0.02222960,182.3269
6,0.02637186,158.7993,0.02602902,186.4952
7,0.02531578,157.0637,0.02393560,182.4796
8,0.02203545,158.5006,0.02171261,190.3930
9,0.02156404,154.9651,0.03276292,184.6765
10,0.02406432,156.9242,0.02521759,184.1081
11,0.02024336,159.0291,0.02063903,182.2555
12,0.01871735,150.9849,0.02706113,181.2970
13,0.02012720,152.6746,0.03549236,181.8549
14,0.01902565,151.6778,0.04728888,181.1421
15,0.01746872,148.9913,0.06890529,182.8307
16,0.01598510,148.3936,0.02626808,187.5742
17,0.01806839,147.2603,0.03968986,182.8181
18,0.01739404,148.3511,0.02921276,182.1734
19,0.01564592,146.1193,0.04623769,182.1124
20,0.01728217,145.2345,0.02967185,180.3039
