Neuron,MSEtrain,sMAPEtrain,MSEtest,sMAPEtest
1,0.02731686,134.9287,0.005438607,153.1349
2,0.02682224,134.2601,0.005174522,153.4711
3,0.02633573,132.2710,0.005059786,153.9772
4,0.02616672,131.9934,0.005134503,153.2189
5,0.02642906,132.5032,0.004923147,153.2531
6,0.02645689,132.5709,0.004921675,153.2181
7,0.02668506,133.0935,0.005053314,153.2179
8,0.02658587,132.6993,0.004939970,153.2183
9,0.02641151,132.2026,0.004922151,153.2173
10,0.02633820,131.7867,0.004918228,153.2114
11,0.02658702,132.6000,0.004750039,153.0168
12,0.02662442,133.0233,0.005013126,153.2180
13,0.02653241,132.6584,0.005077427,153.2041
14,0.02652078,132.3915,0.004767534,153.0473
15,0.02653954,132.7736,0.004774485,152.7955
16,0.02653269,132.5828,0.005164804,153.2085
17,0.02660780,132.5626,0.005066787,153.2180
18,0.02653221,132.6020,0.004766050,153.0859
19,0.02653302,132.5823,0.004922979,153.2182
20,0.02633759,131.7871,0.004748593,152.7949
