No,MSEtrain,sMAPEtrain,MSEtest,sMAPEtest
1,0.0290660,166.5646,0.0257653,166.5646
2,0.0277882,168.1708,0.0360718,168.1708
3,0.0282784,165.2306,0.0196542,165.2306
4,0.0245972,164.8944,0.0242875,164.8944
5,0.0213298,156.2355,0.0235762,156.2355
6,0.0213145,150.9428,0.0297032,150.9428
7,0.0186888,152.1921,0.0433881,152.1921
8,0.0183866,146.3166,0.0228995,146.3166
9,0.0140975,138.9872,0.0510496,138.9872
10,0.0161667,140.7555,0.0409749,140.7555
11,0.0154893,139.5975,0.0333765,139.5975
12,0.0133024,135.5614,0.0310870,135.5614
13,0.0100732,135.0496,0.0705218,135.0496
14,0.0121879,130.1856,0.0370249,130.1856
15,0.0106696,137.9768,0.0545796,137.9768
16,0.0103199,126.8575,0.0648896,126.8575
17,0.0095929,125.6995,0.0584123,125.6995
18,0.0098414,122.4711,0.0569254,122.4711
19,0.0078262,120.8538,0.0490152,120.8538
20,0.0069950,116.7266,0.0497990,116.7266
