Neuron,MSEtrain,sMAPEtrain,MSEtest,sMAPEtest
1,0.01929082,134.1342,0.005151255,152.5870
2,0.01962127,136.4838,0.005235336,153.7725
3,0.01933783,134.4416,0.005184857,152.9190
4,0.01933725,134.4349,0.005184942,152.8799
5,0.01933831,134.4473,0.005182316,152.9470
6,0.01933824,134.4480,0.005184836,152.9577
7,0.01933790,134.4431,0.005183212,152.9286
8,0.01933726,134.4353,0.005166072,152.8173
9,0.01933811,134.4431,0.005183202,152.9296
10,0.01933756,134.4369,0.005173707,152.8615
11,0.01933805,134.4433,0.005179751,152.9200
12,0.01933905,134.4516,0.005201250,153.0174
13,0.01933761,134.4400,0.005176411,152.8905
14,0.01933808,134.4440,0.005186655,152.9441
15,0.01933835,134.4455,0.005185342,152.9496
16,0.01933802,134.4434,0.005195114,152.9582
17,0.01873670,134.2587,0.005173427,152.8262
18,0.01933740,134.4378,0.005172975,152.8647
19,0.01933924,134.4534,0.005198216,153.0210
20,0.01933775,134.4396,0.005182002,152.9052
