Neuron,MSEtrain,sMAPEtrain,MSEtest,sMAPEtest
1,0.01939009,133.4070,0.005314268,153.0770
2,0.01870318,133.2571,0.005046286,153.0770
3,0.01923648,133.3876,0.005299158,153.0770
4,0.01864827,133.2310,0.005296307,153.0766
5,0.01859989,132.9630,0.005311986,153.0762
6,0.01860492,132.8755,0.005064493,153.0770
7,0.01847757,132.9498,0.005163983,152.7037
8,0.01861569,133.0325,0.005312749,153.0769
9,0.01860932,133.0124,0.005314267,153.0770
10,0.01921752,133.1378,0.005313907,153.0769
11,0.01866988,133.1099,0.005314019,153.0770
12,0.01923455,133.2349,0.005314242,153.0769
13,0.01861073,133.0038,0.005314262,153.0768
14,0.01861475,133.0924,0.005314267,153.0770
15,0.01861364,133.0661,0.005314085,153.0770
16,0.01861429,133.0746,0.005314268,153.0770
17,0.01861507,133.0952,0.005314262,153.0767
18,0.01923444,133.2180,0.005314249,153.0770
19,0.01923602,133.2461,0.005314266,153.0770
20,0.01923526,133.2594,0.005314268,153.0770
