Neuron,MSEtrain,sMAPEtrain,MSEtest,sMAPEtest
1,0.01663157,131.0638,0.026146354,179.8867
2,0.01657690,130.0264,0.026210479,179.8858
3,0.01657206,130.1646,0.026194283,179.8863
4,0.01657281,130.1549,0.026195024,179.8863
5,0.01657270,130.2113,0.026186881,179.8863
6,0.01657286,130.1289,0.026206929,179.8863
7,0.01657355,130.1871,0.026197055,179.8863
8,0.01630397,129.7621,0.026243141,179.8863
9,0.01622067,130.0439,0.017032040,170.6651
10,0.01625338,129.8100,0.026234336,179.8864
11,0.01628358,129.6038,0.026234123,179.8848
12,0.01632376,130.2265,0.026241870,179.8863
13,0.01615326,129.6230,0.010403946,160.7006
14,0.01615612,129.6446,0.011294646,164.8048
15,0.01614723,129.5451,0.018869043,169.9475
16,0.01615286,129.5786,0.011577071,163.0514
17,0.01615684,129.8684,0.011985061,166.9453
18,0.01641239,129.5058,0.026235605,179.8863
19,0.01616164,129.6466,0.011605901,165.4953
20,0.01615873,129.4151,0.009379746,160.3542
