Neuron,MSEtrain,sMAPEtrain,MSEtest,sMAPEtest
1,0.02084705,137.0647,0.026222042,179.9289
2,0.02086198,137.1325,0.020764714,171.4611
3,0.02095449,137.3214,0.005734305,156.7957
4,0.02078524,136.9761,0.025502277,179.6991
5,0.02094121,137.3029,0.010622073,169.1728
6,0.02090885,137.3175,0.024327186,178.2116
7,0.02079633,137.2359,0.024870010,179.2414
8,0.02088333,137.4186,0.022384989,173.9774
9,0.02085041,137.3452,0.011743882,167.2264
10,0.02082723,137.2778,0.004260122,154.0274
11,0.02077059,137.0527,0.003798781,152.5062
12,0.02075999,136.9760,0.007959602,166.7269
13,0.02079130,137.2692,0.004450161,153.9914
14,0.02109166,137.0317,0.025796838,179.8108
15,0.02077263,137.3008,0.012810348,169.4040
16,0.02108543,137.2988,0.017417435,173.0985
17,0.02108591,137.2647,0.006105198,160.6107
18,0.02103397,137.0550,0.004238448,154.7278
19,0.02078160,137.2457,0.021605891,176.2131
20,0.02076238,137.1714,0.015771246,173.7160
