Neuron,MSEtrain,sMAPEtrain,MSEtest,sMAPEtest
1,0.02797887,134.5437,0.005864443,153.7179
2,0.02739326,133.4476,0.005227935,153.3576
3,0.02735668,133.0166,0.005313024,152.9538
4,0.02670571,131.3560,0.005504637,153.9733
5,0.02744616,133.1431,0.005358108,153.3925
6,0.02710696,132.7020,0.005136368,153.0067
7,0.02714290,132.6529,0.005207445,153.3742
8,0.02705272,132.0363,0.005130826,153.5751
9,0.02706133,132.2194,0.005154092,153.3742
10,0.02705072,132.0168,0.005203225,153.3590
11,0.02708423,132.2116,0.005374954,153.7478
12,0.02705227,132.0352,0.005133276,153.5102
13,0.02709191,132.4309,0.004983630,153.0910
14,0.02706348,132.2510,0.005125539,153.3631
15,0.02705073,132.0347,0.005156485,153.3759
16,0.02706214,132.1882,0.005136359,153.3687
17,0.02705615,132.1116,0.005152527,153.3897
18,0.02705097,131.9831,0.005199479,153.6733
19,0.02705933,132.1812,0.004960061,152.9566
20,0.02708497,132.2782,0.005155954,153.3916
