Neuron,MSEtrain,sMAPEtrain,MSEtest,sMAPEtest
1,0.02397233,128.3235,0.002743948,149.4029
2,0.02393516,127.2629,0.003032798,150.8097
3,0.02390031,126.8163,0.002802839,150.2673
4,0.02389822,127.1176,0.002713038,148.9324
5,0.02388364,126.8939,0.002826966,150.3615
6,0.02388166,126.7307,0.002814955,150.2967
7,0.02387744,126.8110,0.003852712,150.7542
8,0.02393378,127.5909,0.002760304,149.6661
9,0.02392269,127.2894,0.002770504,149.7360
10,0.02386537,126.8485,0.002814845,150.3495
11,0.02386363,125.5138,0.002791573,149.9953
12,0.02385523,125.7023,0.002918272,150.4251
13,0.02392335,127.2828,0.002781715,149.8607
14,0.02386839,126.8171,0.002796194,150.1459
15,0.02391857,127.2564,0.002780746,150.0069
16,0.02391689,127.1709,0.002785260,149.8581
17,0.02392073,127.4610,0.004373314,151.6108
18,0.02386610,125.3749,0.002838819,150.4089
19,0.02386550,125.6210,0.002813046,149.9318
20,0.02391148,126.7379,0.002743519,149.5860
