Neuron,MSEtrain,sMAPEtrain,MSEtest,sMAPEtest
1,0.02413723,128.0581,0.003042312,150.9343
2,0.02410850,126.9531,0.004061645,154.3491
3,0.02408317,126.6781,0.003520234,153.4312
4,0.02409680,126.7079,0.003067298,151.5706
5,0.02408357,126.4753,0.004209234,154.8995
6,0.02403311,126.2565,0.004362526,155.3473
7,0.02401696,126.1650,0.003819756,154.7702
8,0.02404815,126.2565,0.004166952,154.7241
9,0.02404040,126.2003,0.003042735,150.5998
10,0.02402961,126.1960,0.003806921,154.8991
11,0.02406585,126.4966,0.003618992,153.1944
12,0.02405806,126.2238,0.003764012,153.9360
13,0.02401411,126.0160,0.003035425,150.8132
14,0.02401835,126.0416,0.003434074,153.1245
15,0.02404832,126.1106,0.003114590,151.5881
16,0.02402032,125.9252,0.004045240,154.4525
17,0.02402519,126.0696,0.003699700,153.9600
18,0.02404797,126.0061,0.005231808,158.6371
19,0.02404009,126.1904,0.003158425,151.9294
20,0.02402865,125.9877,0.003526770,153.1580
